# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,5.0,3.0,0.0,0,3.0,0,0.0,0.0,0.0
 0.08798529637303891,5.011612118566777,3.0,0.0,0.2639558891191167,3.0,0,0.0,0.0,0.0
 0.12234554635471173,5.022452649069249,3.0,0.0,0.3670366390641352,3.0000000000000004,0,0.0,0.0,0.0
 0.14725907716363362,5.0325278537106275,3.0,0.0,0.4417772314909008,2.999999999999998,0,0.0,0.0,0.0
 0.16702094617965169,5.041843994694119,3.0,0.0,0.501062838538955,2.9999999999999973,0,0.0,0.0,0.0
 0.18331636446852784,5.050407334222937,3.0,0.0,0.5499490934055834,3.0,0,0.0,0.0,0.0
 0.19701799325660602,5.05822413450029,3.0,0.0,0.591053979769818,3.000000000000004,0,0.0,0.0,0.0
 0.2086474821788971,5.06530065772939,3.0,0.0,0.6259424465366912,2.999999999999998,0,0.0,0.0,0.0
 0.21854544319728075,5.071643166113444,3.0,0.0,0.6556363295918421,2.9999999999999973,0,0.0,0.0,0.0
 0.22694775001552678,5.077257921855665,3.0,0.0,0.6808432500465803,3.0000000000000098,0,0.0,0.0,0.0
 0.2340244818521657,5.082151187159262,3.0,0.0,0.7020734455564971,3.0,0,0.0,0.0,0.0
 0.23990168017675698,5.0863292242274465,3.0,0.0,0.719705040530271,3.0000000000000093,0,0.0,0.0,0.0
 0.24467433493445417,5.089798295263426,3.0,0.0,0.7340230048033626,3.0000000000000058,0,0.0,0.0,0.0
 0.2484145224826346,5.092564662470413,3.0,0.0,0.7452435674479038,2.999999999999978,0,0.0,0.0,0.0
 0.2511766815764251,5.094634588051617,3.0,0.0,0.7535300447292753,3.00000000000003,0,0.0,0.0,0.0
 0.2530010990888499,5.096014334210249,3.0,0.0,0.7590032972665497,3.0,0,0.0,0.0,0.0
 0.2539162107855237,5.096710163149518,3.0,0.0,0.7617486323565711,3.0,0,0.0,0.0,0.0
 0.25394006782786943,5.096728337072634,3.0,0.0,0.7618202034836083,3.0,0,0.0,210279.83018243223,0.0
 0.25479607004093874,5.096075118182808,3.0,180.0,0.7643882101228163,3.000000000000065,0,0.0,0.0,0.0
 0.25651498391844235,5.094756768683251,3.0,180.0,0.7695449517553272,3.0000000000000324,0,0.0,0.0,0.0
 0.2590715774557269,5.092779550777171,3.0,180.0,0.7772147323671809,3.0,0,0.0,0.0,0.0
 0.2624334169238467,5.09014972666778,3.0,180.0,0.7873002507715403,3.0000000000000164,0,0.0,0.0,0.0
 0.26656220735753616,5.086873558558286,3.0,180.0,0.7996866220726087,2.9999999999999867,0,0.0,0.0,0.0
 0.27141526055519444,5.082957308651903,3.0,180.0,0.8142457816655835,3.0,0,0.0,0.0,0.0
 0.27694696844153194,5.0784072391518364,3.0,180.0,0.830840905324596,3.0,0,0.0,0.0,0.0
 0.28311018100610935,5.073229612261301,3.0,180.0,0.8493305430183283,3.000000000000018,0,0.0,0.0,0.0
 0.28985741777842616,5.067430690183503,3.0,180.0,0.8695722533352788,3.0,0,0.0,0.0,0.0
 0.29714187298731365,5.0610167351216555,3.0,180.0,0.8914256189619412,2.9999999999999925,0,0.0,0.0,0.0
 0.304918201999926,5.053994009278967,3.0,180.0,0.9147546059997782,3.000000000000007,0,0.0,0.0,0.0
 0.31314309751998826,5.046368774858649,3.0,180.0,0.939429292559965,2.9999999999999933,0,0.0,0.0,0.0
 0.32177567764034853,5.0381472940639105,3.0,180.0,0.9653270329210458,3.0,0,0.0,0.0,0.0
 0.3307777149358829,5.029335829097962,3.0,180.0,0.992333144807649,3.0,0,0.0,0.0,0.0
 0.3401137378204084,5.0199406421640145,3.0,180.0,1.0203412134612253,2.9999999999999942,0,0.0,0.0,0.0
 0.34975103400370466,5.009967995465278,3.0,180.0,1.0492531020111142,3.0000000000000058,0,0.0,0.0,0.0
 0.3596595825131572,4.999424151204961,3.0,180.0,1.0789787475394719,3.0,0,0.0,0.0,0.0
 0.3698119364929459,4.988315371586275,3.0,180.0,1.109435809478838,2.9999999999999947,0,0.0,0.0,0.0
 0.38018307461260314,4.97664791881243,3.0,180.0,1.1405492238378097,3.0000000000000053,0,0.0,0.0,0.0
 0.3907502348548079,4.964428055086637,3.0,180.0,1.1722507045644242,3.0000000000000155,0,0.0,0.0,0.0
 0.40149274093326925,4.951662042612105,3.0,180.0,1.204478222799808,2.9999999999999947,0,0.0,0.0,0.0
 0.41239182868822216,4.938356143592045,3.0,180.0,1.2371754860646669,3.000000000000005,0,0.0,0.0,0.0
 0.42343047750140606,4.9245166202296655,3.0,180.0,1.2702914325042185,2.999999999999995,0,0.0,0.0,0.0
 0.43459324999903787,4.910149734728179,3.0,180.0,1.303779749997114,3.000000000000005,0,0.0,0.0,0.0
 0.4458661419861895,4.895261749290795,3.0,180.0,1.337598425958569,3.0,0,0.0,0.0,0.0
 0.45723644359313337,4.879858926120724,3.0,180.0,1.3717093307794004,2.9999999999999902,0,0.0,0.0,0.0
 0.4686926119352959,4.863947527421174,3.0,180.0,1.4060778358058879,2.999999999999995,0,0.0,0.0,0.0
 0.480224155126132,4.847533815395358,3.0,180.0,1.4406724653783962,3.000000000000005,0,0.0,0.0,0.0
 0.49182152718154776,4.830624052246484,3.0,180.0,1.4754645815446434,2.9999999999999902,0,0.0,0.0,0.0
